bin_start,bin_end,bin_mid,total_count,western,eastern
-600,-575,-587.5,0.0,0.0,0.0
-575,-550,-562.5,0.0,0.0,0.0
-550,-525,-537.5,0.0,0.0,0.0
-525,-500,-512.5,0.0,0.0,0.0
-500,-475,-487.5,0.0,0.0,0.0
-475,-450,-462.5,0.0,0.0,0.0
-450,-425,-437.5,0.0,0.0,0.0
-425,-400,-412.5,0.0,0.0,0.0
-400,-375,-387.5,0.0,0.0,0.0
-375,-350,-362.5,0.0,0.0,0.0
-350,-325,-337.5,0.0,0.0,0.0
-325,-300,-312.5,0.0,0.0,0.0
-300,-275,-287.5,0.0,0.0,0.0
-275,-250,-262.5,0.0,0.0,0.0
-250,-225,-237.5,0.0,0.0,0.0
-225,-200,-212.5,0.0,0.0,0.0
-200,-175,-187.5,30.0,18.0,12.0
-175,-150,-162.5,32.0,24.0,8.0
-150,-125,-137.5,37.0,25.0,12.0
-125,-100,-112.5,37.0,21.0,16.0
-100,-75,-87.5,123.0,59.0,64.0
-75,-50,-62.5,127.0,65.0,62.0
-50,-25,-37.5,144.0,61.0,83.0
-25,0,-12.5,167.0,68.0,99.0
0,25,12.5,72.0,46.0,26.0
25,50,37.5,64.0,51.0,13.0
50,75,62.5,73.0,46.0,27.0
75,100,87.5,82.0,59.0,23.0
100,125,112.5,68.0,45.0,23.0
125,150,137.5,77.0,62.0,15.0
150,175,162.5,108.0,92.0,16.0
175,200,187.5,138.0,108.0,30.0
200,225,212.5,100.0,77.0,23.0
225,250,237.5,674.0,439.0,235.0
250,275,262.5,795.0,448.0,347.0
275,300,287.5,369.0,173.0,196.0
300,325,312.5,170.0,82.0,88.0
325,350,337.5,133.0,66.0,67.0
350,375,362.5,116.0,62.0,54.0
375,400,387.5,133.0,71.0,62.0
400,425,412.5,48.0,33.0,15.0
425,450,437.5,45.0,27.0,18.0
450,475,462.5,42.0,29.0,13.0
475,500,487.5,35.0,17.0,18.0
500,525,512.5,0.0,0.0,0.0
525,550,537.5,0.0,0.0,0.0
550,575,562.5,0.0,0.0,0.0
575,600,587.5,0.0,0.0,0.0
600,625,612.5,0.0,0.0,0.0
625,650,637.5,0.0,0.0,0.0
650,675,662.5,0.0,0.0,0.0
675,700,687.5,0.0,0.0,0.0
700,725,712.5,0.0,0.0,0.0
725,750,737.5,0.0,0.0,0.0
750,775,762.5,0.0,0.0,0.0
775,800,787.5,0.0,0.0,0.0
800,825,812.5,0.0,0.0,0.0
825,850,837.5,0.0,0.0,0.0
850,875,862.5,0.0,0.0,0.0
875,900,887.5,0.0,0.0,0.0
900,925,912.5,0.0,0.0,0.0
925,950,937.5,0.0,0.0,0.0
950,975,962.5,0.0,0.0,0.0
975,1000,987.5,0.0,0.0,0.0
