year_ce,lead_concentration_pg_g,lead_flux_ug_m2_a,lead_emissions_kt_a
-1235.5,2.86,0.18021063073,0.264884350952811
-1234.5,3.86,0.33178450704,0.26488435095281077
-1233.5,2.24,0.1050863320800001,0.272070212910685
-1232.5,1.79,0.11094694755300002,0.3554816474422638
-1231.5,1.44,0.07088701472000002,0.3943562280492092
-1230.5,2.11,0.027822585645000012,0.33321322047994706
-1229.5,,,0.26488435095281077
-1228.5,6.99,1.2024341572319999,0.26488435095281077
-1227.5,2.55,0.17897529915599997,0.2510967557604709
-1226.5,2.05,0.16081370791199995,0.21817953705071474
-1225.5,1.41,0.08410045893,0.21817953705071474
-1224.5,1.75,0.093841502414,0.21817953705071474
-1223.5,1.7,0.125041650744,0.23012329861025693
-1222.5,1.61,0.04527193671000001,0.23012329861025693
-1221.5,1.67,0.04549152658400005,0.23012329861025693
-1220.5,1.34,0.022883355066,0.23012329861025693
-1219.5,1.33,0.022055844770999998,0.25593003417823956
-1218.5,2.01,0.20833135103199996,0.25593003417823956
-1217.5,1.68,0.10436517756000002,0.21253870161033037
-1216.5,3.29,0.47277224793399997,0.21253870161033037
-1215.5,2.57,0.20104994051199998,0.21253870161033037
-1214.5,1.71,0.121637638305,0.21253870161033037
-1213.5,1.23,0.06888729906300002,0.21253870161033037
-1212.5,1.51,0.086670716093,0.21253870161033037
-1211.5,1.45,0.05699343638999997,0.21253870161033037
-1210.5,1.08,0.04860699341400001,0.21253870161033037
-1209.5,0.86,0.01072977074400002,0.21253870161033037
-1208.5,1.22,0.009683173604000008,0.21253870161033037
-1207.5,1.86,0.10493478080000004,0.21253870161033037
-1206.5,2.43,0.1702314470240001,0.2573268466025506
-1205.5,2.0,0.154008751936,0.2573268466025506
-1204.5,2.02,0.16732457740799997,0.2701640448377356
-1203.5,1.78,0.14134665063400004,0.2701640448377356
-1202.5,1.36,0.08404222411200002,0.3183888038819907
-1201.5,2.6,0.28935628413000003,0.3183888038819907
-1200.5,1.44,0.08826491347399999,0.2701640448377356
-1199.5,2.19,0.11016963522999998,0.2701640448377356
-1198.5,1.3,0.029717534079999993,0.21644808019565037
-1197.5,1.93,0.12983510965,0.20609296886438822
-1196.5,1.37,0.024470974611000004,0.20509123561029802
-1195.5,1.5,0.039344028696,0.09648159323149734
-1194.5,2.03,0.14576796692499996,0.09648159323149734
-1193.5,1.49,0.083633729387,0.09648159323149734
-1192.5,1.27,0.03485879225699997,0.15420604641172622
-1191.5,1.54,0.02347832308499999,0.15420604641172622
-1190.5,0.97,0.010502048699999999,0.15420604641172622
-1189.5,1.83,0.09341267171600004,0.15420604641172622
-1188.5,1.79,0.11556917910600001,0.15420604641172622
-1187.5,1.19,0.06288336367499997,0.15420604641172622
-1186.5,2.66,0.17136951322400004,0.16768059168718139
-1185.5,1.45,0.05346138176400002,0.22907169636359082
-1184.5,1.49,0.004683146808000038,0.2340205892113605
-1183.5,9.09,1.4949088540420001,0.2389694820591303
-1182.5,1.66,0.09744886920599997,0.20332503687315584
-1181.5,1.72,0.06837812053200001,0.3296056185191478
-1180.5,5.51,0.6646904569140001,0.22916077720630543
-1179.5,,,0.22916077720630543
-1178.5,,,0.503635696232831
-1177.5,,,0.2389694820591303
-1176.5,2.8,0.31330424174999993,0.5911681800472348
-1175.5,1.45,0.08944912640999998,0.5911681800472348
-1174.5,1.4,0.06891421868099998,0.5453262092922887
-1173.5,10.3,1.8923515815340004,0.5911681800472348
-1172.5,,,0.5911681800472348
-1171.5,2.11,0.241071245415,0.6797350452268833
-1170.5,2.4,0.20368364115899998,0.679933802160448
-1169.5,,,0.679933802160448
-1168.5,4.5,0.567265312271,0.7617311597998695
-1167.5,,,0.6729655376866563
-1166.5,6.84,0.86469088426,0.5911681800472348
-1165.5,2.85,0.31346634310500004,0.7547628953260778
-1164.5,1.82,0.152077292232,0.7547628953260778
-1163.5,3.02,0.307783194885,0.601396755936058
-1162.5,2.29,0.16644759202000003,0.4281012826875884
-1161.5,1.52,0.089872174568,0.40817194882913854
-1160.5,3.53,0.351661305246,0.3729323085403074
-1159.5,2.75,0.18270147541800005,0.3285063502803995
-1158.5,2.0,0.09967105309900003,0.2444188437426178
-1157.5,1.21,0.048206453562,0.22258187808224703
-1156.5,2.22,0.13396092290100003,0.22038949433720437
-1155.5,1.52,0.08294175710300002,0.20471977564852256
-1154.5,1.5,0.09076620218600001,0.20339434307933196
-1153.5,1.38,0.08348225249999999,0.1939942408378676
-1152.5,0.97,0.010139902360000012,0.1182145194036728
-1151.5,1.46,0.07910850891600002,0.1939942408378676
-1150.5,1.37,0.04520115511800003,0.1108447611042962
-1149.5,1.04,0.005071972650000009,0.049248158388634486
-1148.5,1.13,0.0035863784999999857,0.049248158388634486
-1147.5,1.11,0.0005156553000000196,0.038431660798716086
-1146.5,1.67,0.10448055363900002,0.049248158388634486
-1145.5,1.15,0.020082804314999984,0.038431660798716086
-1144.5,1.34,0.013467945048000028,0.033026836316775186
-1143.5,1.93,0.05113090398599999,0.033026836316775186
-1142.5,1.43,0.01567196720800003,0.038431660798716086
-1141.5,1.37,0.052477854832000036,0.049248158388634486
-1140.5,1.43,-0.06214447608899998,0.049248158388634486
-1139.5,0.7,-0.013729480938000003,0.0757427721645388
-1138.5,0.92,0.01206795438999998,0.1253860177373636
-1137.5,1.48,0.030886987888000025,0.10404389438514587
-1136.5,1.84,0.09236736599999999,0.12868908475753915
-1135.5,3.22,0.34422710726800004,0.16527611726162425
-1134.5,2.23,0.151532431344,0.16527611726162425
-1133.5,2.79,0.18629738039500005,0.16527611726162425
-1132.5,1.46,0.042427843790999994,0.19675879106393285
-1131.5,2.09,0.166620866404,0.19675879106393285
-1130.5,,,0.2112635904698689
-1129.5,1.09,0.013022191182000029,0.2112635904698689
-1128.5,1.27,0.021183590103999995,0.2112635904698689
-1127.5,1.99,0.06810435223200005,0.2112635904698689
-1126.5,1.49,0.04664799972600002,0.3320574003815404
-1125.5,1.86,0.10419713010200005,0.36273029321725475
-1124.5,3.77,0.34758134427799997,0.37306155116810574
-1123.5,2.88,0.293390107651,0.37306155116810574
-1122.5,3.79,0.5471460439000001,0.37306155116810574
-1121.5,3.74,0.49711727027400004,0.37306155116810574
-1120.5,2.27,0.19163693704499998,0.37306155116810574
-1119.5,1.98,0.152129995815,0.37306155116810574
-1118.5,1.47,0.11319614132600002,0.36604090387546384
-1117.5,1.33,0.09485337645400001,0.2921871278580467
-1116.5,1.22,0.055900839359999975,0.277585809708922
-1115.5,1.42,0.027867870345000025,0.277585809708922
-1114.5,2.5,0.149267060624,0.277585809708922
-1113.5,1.26,0.08865610445600001,0.26922237152045053
-1112.5,2.26,0.11915038255500002,0.23260467183929584
-1111.5,1.75,0.08577975701100002,0.21740738025850828
-1110.5,2.96,0.17092004727599996,0.21740738025850828
-1109.5,2.38,0.11380694052099997,0.21740738025850828
-1108.5,1.77,0.10978563222200004,0.2103538426982035
-1107.5,1.11,0.05270235358400001,0.15329392108314777
-1106.5,1.14,0.06251140998,0.12923961295684483
-1105.5,2.02,-0.01587490054400002,0.04932410913682487
-1104.5,0.95,-0.018578014463999995,0.04932410913682487
-1103.5,0.84,-0.05547464304200004,0.04932410913682487
-1102.5,1.02,0.020113776112999995,0.04932410913682487
-1101.5,1.28,0.01654049544,0.04932410913682487
-1100.5,1.11,-0.007745423759999993,0.04932410913682487
-1099.5,1.16,0.027211214279999976,0.051317977084673116
-1098.5,1.26,0.020926851386000006,0.06672883775537164
-1097.5,2.14,0.11801269059200002,0.06672883775537164
-1096.5,1.32,0.04830566251,0.1184578050478507
-1095.5,2.19,0.22130389019399999,0.13548309188662022
-1094.5,1.95,0.10886667409800001,0.13548309188662022
-1093.5,1.06,0.055248368901,0.13548309188662022
-1092.5,1.02,0.012582803268000008,0.13548309188662022
-1091.5,1.59,0.10603678930100001,0.13548309188662022
-1090.5,1.55,0.08653514872000001,0.21220625583467498
-1089.5,1.33,0.042271153155000005,0.21220625583467498
-1088.5,1.25,-0.01355348039699997,0.13548309188662022
-1087.5,1.93,0.050834184038000024,0.21220625583467498
-1086.5,3.41,0.263241567,0.21220625583467498
-1085.5,2.92,0.19696753047000004,0.21220625583467498
-1084.5,2.83,0.14155105428,0.23053195597311626
-1083.5,1.44,0.03356570858000002,0.2354957275915148
-1082.5,1.71,0.11727378458799997,0.23658222351975117
-1081.5,1.41,0.06545392457999998,0.23658222351975117
-1080.5,2.04,0.09400814795200008,0.2354957275915148
-1079.5,1.51,0.09603231408,0.23053195597311626
-1078.5,2.54,0.16282436289000007,0.23053195597311626
-1077.5,1.91,0.09647537399999999,0.23301384178231552
-1076.5,1.57,0.05599807621999998,0.23301384178231552
-1075.5,1.77,0.07225547017499999,0.23301384178231552
-1074.5,2.07,0.07707732704,0.21225449620374495
-1073.5,2.87,0.29267696832,0.18310105338150232
-1072.5,3.97,,0.16242492795960373
-1071.5,4.14,0.2918448221239999,0.16242492795960373
-1070.5,1.23,0.06021437847800001,0.16242492795960373
-1069.5,1.07,0.011372336892000044,0.13703311485539166
-1068.5,1.28,-0.013099015739999997,0.13703311485539166
-1067.5,2.13,0.026934254985000013,0.13703311485539166
-1066.5,1.87,0.11890096096200004,0.14766101397217793
-1065.5,1.43,0.051546520624000024,0.14766101397217793
-1064.5,1.54,0.034598583540000026,0.1550337858894794
-1063.5,2.9,0.240811978286,0.1550337858894794
-1062.5,2.26,0.1906848273,0.2034958866427148
-1061.5,1.44,0.10075042083199998,0.2034958866427148
-1060.5,1.84,0.08298316534200001,0.1550337858894794
-1059.5,1.3,0.06322090583900003,0.1550337858894794
-1058.5,1.53,0.03765864465000003,0.2034958866427148
-1057.5,2.74,0.15667689387200004,0.1550337858894794
-1056.5,1.37,0.016112509980000023,0.14923332065129213
-1055.5,1.67,0.059954224284,0.1470230495350097
-1054.5,1.1,0.033025973340000035,0.14306897927078818
-1053.5,1.97,0.10144992506400001,0.14306897927078818
-1052.5,1.28,0.023637378298000025,0.1470230495350097
-1051.5,1.68,0.06085554615600002,0.14306897927078818
-1050.5,1.53,0.05834180217600001,0.1470230495350097
-1049.5,0.96,0.041574154523999984,0.14923332065129213
-1048.5,1.37,0.07616149200600003,0.15779465524637631
-1047.5,1.4,0.06434675502499998,0.15779465524637631
-1046.5,1.45,0.05260549097899999,0.1667769462443197
-1045.5,1.86,0.14575063822200005,0.18676740372482248
