wreck_id,strauss_id,name,parker_number,country,sea_area,region_db,latitude,longitude,date_start,date_end,cargo_types,provenance,destination,region
1,331,Komiza,,Croatia,Adriatic,Vis Island,43.03333,16.08333,1.0,200.0,amphorae,Egypt,Northern Italy,adriatic
2,328,Lokunji,,Croatia,Adriatic,Kvarner region,44.7,14.28333,1.0,100.0,amphorae,Cos,Northern Italy,adriatic
3,329,Maharac Cape,,Croatia,Adriatic,Mljet island,42.73333,17.66666,1.0,100.0,amphorae; Eastern coarse ware pottery of biconical dishes and trefoil mouth jugs.,Rhodes,Northern Italy,adriatic
4,330,Mlin,702,Croatia,Adriatic,Split channel,43.45,16.23333,1.0,200.0,amphorae,Aegean,Northern Italy,adriatic
5,322,Plavac B,832,Croatia,Adriatic,"Zlarin Island, central Dalmatia",,,1.0,100.0,,,,adriatic
6,326,Tramerka,,Croatia,Adriatic,Northern Dalmatia,44.21666,14.78333,1.0,100.0,amphorae,Rhodes,northern Italy,adriatic
7,332,Veliki Skolj,,Croatia,Adriatic,Mljet island,42.7,17.75,1.0,200.0,"marble; sarcophagi; marble:15 basins or unfinished sarcophagi with lids.; Sherds of Eastern coarse ware two-handled dishes, oinochoe.",Aegean,Northern Italy,adriatic
8,453,La Fourmigue C,425,France,Western Mediterranean,Alpes-Maritimes,,,-80.0,-60.0,"amphorae; A fine collection of furniture and sculptural appliques, mostly belonging to bronze couches inlaid with silver and copper; an inscription indicated Greek manufacture._x000D_
Also a large dish, a bucket, decorated with a fine Bacchic mask, a candelabrum foot and other pieces of bronze furniture.",Aegean via Cosa,France,western_med
9,407,Le Grotticelle,486,Italy,Tyrrhenian Sea,"Between Ventotene and S. Stefano, Pontine Islands",,,-75.0,-25.0,"amphorae; About four hundred pieces belonging to couches, bronze fittings from the legs and carved bone decoration (including female figures and animal heads)  from the bed and back of the couch. _x000D_
Other items include bronze fittings from chests and boxes. _x000D_
Also a marble base (for a statue), a marble basin, a wooden marline-spike. _x000D_
Coarse ware and fineware.",Aegean.,Rome,western_med
10,323,Koromasna  Cove,,Croatia,Adriatic,North side of Zirje island,43.65,15.65,1.0,100.0,amphorae,Aegean,Northern Italy,adriatic
